"city","country","pop2024","latitude","longitude"
"Steinbach","Canada",9607,49.5258,-96.6845
"Lachute","Canada",9562,45.6501,-74.3325
"Val-des-Monts","Canada",9539,45.6501,-75.666
"La Tuque","Canada",9503,47.4334,-72.7824
"Weyburn","Canada",9362,49.6668,-103.851
"Amherst","Canada",9336,45.8335,-64.1987
"Dorchester","Canada",9329,42.9834,-81.0664
"Roberval","Canada",9287,48.5168,-72.2324
"Saint-Raymond","Canada",9273,45.467,-73.6095
"Huron East","Canada",9264,43.6168,-81.2998
"Kapuskasing","Canada",9240,49.4169,-82.4331
"Saint-Sauveur","Canada",9191,45.8869,-74.1794
"Oromocto","Canada",8998,45.8351,-66.4792
"Kitimat","Canada",8987,54.0524,-128.653
"La Malbaie","Canada",8959,47.654,-70.1527
"Stony Plain","Canada",8939,53.5334,-114.002
"Mont-Tremblant","Canada",8892,46.2127,-74.5844
"Binbrook","Canada",8796,43.1213,-79.811
"Whitecourt","Canada",8763,54.1502,-115.685
"Lavaltrie","Canada",8762,45.8834,-73.2824
"Ladysmith","Canada",8740,48.9902,-123.817
"Pont-Rouge","Canada",8723,46.7547,-71.6957
"Castlegar","Canada",8715,49.2998,-117.669
"Otterburn Park","Canada",8464,45.5334,-73.2159
"Dauphin","Canada",8418,51.1494,-100.05
"Bois-des-Filion","Canada",8383,45.6668,-73.7492
"Winkler","Canada",8270,49.1817,-97.941
"Concord","Canada",8255,43.8001,-79.4829
"Bracebridge","Canada",8238,45.0334,-79.3163
"Notre-Dame-des-Prairies","Canada",8230,46.0501,-73.4324
"Dryden","Canada",8195,49.7833,-92.7503
"Taber","Canada",8163,49.787,-112.146
"Morinville","Canada",8108,53.8001,-113.652
"Silver Berry","Canada",8089,53.4579,-113.382
"Saint-Felicien","Canada",8088,48.6501,-72.4491
"Saint-Hippolyte","Canada",8083,45.9334,-74.0159
"Bridgewater","Canada",8070,44.3786,-64.5188
"Goderich","Canada",8032,43.7417,-81.7134
"Wild Rose","Canada",8031,53.4708,-113.381
"Renfrew","Canada",8018,45.4668,-76.6827
"Edson","Canada",7975,53.5835,-116.436
"Fort Frances","Canada",7931,48.6167,-93.4003
"Chandler","Canada",7914,48.3493,-64.6793
"Kirkland Lake","Canada",7775,48.1446,-80.0377
"Slave Lake","Canada",7661,55.2834,-114.769
"Happy Valley-Goose Bay","Canada",7572,53.3038,-60.3258
"Wasaga Beach","Canada",7567,44.5168,-80.0164
"Chibougamau","Canada",7563,49.9168,-74.3659
"Revelstoke","Canada",7533,50.9971,-118.195
"Aylmer","Canada",7527,42.7668,-80.983
"Pont Rouge","Canada",7518,48.8833,-72.0825
"Camlachie","Canada",7506,43.036,-82.1616
"Banff","Canada",7502,51.1762,-115.57
"Yarmouth","Canada",7500,43.8335,-66.1156
"Carignan","Canada",7426,45.4501,-73.2992
"Campbellton","Canada",7384,48.0075,-66.6727
"Beaumont","Canada",7366,53.3501,-113.419
"Innisfil","Canada",7345,44.3001,-79.6496
"Delson","Canada",7322,45.3668,-73.5492
"Sydney Mines","Canada",7312,46.2367,-60.2177
"Baie-Saint-Paul","Canada",7288,47.4411,-70.4986
"Hanover","Canada",7255,44.1501,-81.033
"La Sarre","Canada",7206,48.8002,-79.1996
"Asbestos","Canada",7190,45.7668,-71.9324
"Merritt","Canada",7179,50.1123,-120.794
